,link,color,status,name,resolution,screensize,screentech,cpu,rom,ram,gpu,size,rear_cam,front_cam,sim,tech,wifi,bluetooth,weigth,os,port,price
69,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-512gb.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics,,16GB 3733MHz LPDDR4X memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),41.500.000
70,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb-mxk32-mxk62-openbox.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics 645,,8GB 2133MHz LPDDR3 memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),25.700.000
71,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-32gb-1000gb-mwp82-mwp52.html,,,Macbook Pro 13 inch 2020 Quad Core I7 2.3Ghz 32GB 2000,,,,Intel Iris Plus Graphics,,32GB 3733MHz LPDDR4X memory,,,,,,,,,,,,59.900.000
72,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-1000gb.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics,,16GB 3733MHz LPDDR4X memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),45.500.000
73,https://mac24h.vn/macbook-pro-16-inch-2.3ghz-8-core-1tb-ssd-radeon-pro-5500m.html,,,"Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVK2 , MVVM2 )",,,,2.3GHz 8-core 9th-generation Intel Core i9 processor,,16GB 2666MHz DDR4 memory,,,,,,,,,,,,56.500.000
74,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics 645,,8GB 2133MHz LPDDR3 memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),29.500.000
75,https://mac24h.vn/macbook-pro-13-inch-2019-mv972-core-i7-2.8ghz-16gb-1000gb-ssd-new-100.html,,new,Macbook Pro 13 inch 2019,3072 x 1920,16,retina,Intel Iris Plus Graphics 655,,16GB 2133MHz LPDDR3 memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),44.900.000
76,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb-mxk32-mxk62-used.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,Intel Iris Plus Graphics 645,,8GB 2133MHz LPDDR3 memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),23.900.000
77,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-mgn73-mgna3-mgne3.html,,new,Macbook Air M1 13 inch 2020,2880 x 1800,15,retina,"Apple M1 chip with 8‑core CPU, ‑core GPU, and 16‑core Neural Engine",,8GB unified memory,Intel Iris Plus 655,349.3 x 240.7 x 15.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Thunderbolt,29.900.000
78,https://mac24h.vn/macbook-air-2020-13-inch-core-i5-8gb-512gb.html,,new,Macbook Air 2020,1560 x 1600,13,retina,Intel Iris Plus Graphics & Retina display with True Tone,,8GB 3733MHz LPDDR4X memory,card onboard,undefined,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.3,MacOS,Thunderbolt,27.700.000
